21018	ABC	Bravo E!
23393	Discovery	TLC
7123	FX TNT	AnimalPlanet TBS
39262	MTV2	MTV2
17459	CBS	NBC
48414	ESPN SpikeTV FoxSports1 CBS	FOX NBC ESPN2 CW
61809	visit	visit
27486	TNT NBC	CBS Bravo AMC
19894	NBC	FOX
79829	ABC Discovery NBC	Bravo ESPN TBS
56394	ABC NBC	ESPN2 visit
20171	FX	ABC
46498	ABC TBS FXX FoxSports1	AMC ComedyCentral AnimalPlanet NBCSportsNetwork Discovery
30801	ESPN TNT VH1 USANetwork	Discovery FXX CW SpikeTV web
51226	web	web
40991	NBC ABC	TNT CBS
57761	NBC	NBC
12354	visit	visit
75773	CBS	ESPN visit
45003	visit	visit
6887	Discovery TNT A&E TLC SpikeTV NationalGeographic	AnimalPlanet History ABC CBS FOX ESPN
59282	NBC	CBS AMC
46587	FOX	FOX
63572	CBS NBC	USANetwork visit
63708	FX	visit
56031	CBS	CBS
26362	Nickelodeon	NBC
1317	FXX	CBS ABC
64648	Univision(National)	Telemundo(National)
1588	NBC	NBC
39826	NBC	visit
62029	ABC TNT ESPN	AMC MTV2 VH1 Bravo
38152	CBS TLC	ABC FOX
81590	ComedyCentral TNT	TBS NBC FOX
44557	visit	visit
80992	NationalGeographic ESPN AMC TNT	ABC Bravo VH1 CBS MTV
36858	ABC NBC	CBS FOX visit
33833	AMC	NBC
40468	History Nickelodeon NBC	FOX ESPN FX
35412	FOX NBC CBS	truTV FoxSports1 ABC
68043	CW	NBC
790	E!	visit
73149	CBS	NBC A&E
15570	FX TNT	CBS visit
72289	Discovery	Discovery
54383	CartoonNetwork NBC	ComedyCentral AnimalPlanet
10616	A&E Discovery SpikeTV	NationalGeographic FX CBS AMC
5669	NBC NationalGeographic Nickelodeon ABC Bravo	TBS CartoonNetwork FOX VH1 Discovery
52616	FOX CBS	ABC CW E!
73147	Discovery CBS NBC	History truTV FOX
64946	AnimalPlanet	CBS USANetwork
4114	visit	visit
49616	NBC TBS	AMC ABC CBS
29074	visit	visit
16338	ABC	ABC
24218	CBS AMC	NBC ESPN Discovery
67764	NBC	CBS FOX
9517	NBC	AMC
49467	Discovery	truTV visit
76613	CartoonNetwork ComedyCentral History	FXX truTV AnimalPlanet TBS
18005	Nickelodeon CW	web NBC
25768	CBS NBC	AMC truTV ABC
23982	TVLand ComedyCentral FXX	SpikeTV NBC A&E History
69189	VH1 A&E CBS NBC	AMC ABC TLC MTV
22175	NBC CBS CartoonNetwork	FXX ABC AMC
45368	web	web
41673	ABC	CBS visit
33655	NBC ABC	Discovery NationalGeographic
77354	visit	visit
7248	NationalGeographic	NBC CBS
22286	TNT AMC truTV ABC	CBS TBS History FX NBC
81601	ESPN NationalGeographic CBS	CartoonNetwork NBC TNT
79109	visit	visit
77679	NBC CBS	ESPN2 visit
14355	FoxDeportes Nickelodeon Telemundo(National)	NBCUniverso E! ESPNDeportes
51792	ESPN	TNT ABC
70943	History E! FX FOX ABC	TBS truTV web Bravo CBS visit
2312	Discovery	Discovery
64285	TNT ABC USANetwork	CBS History A&E
55955	TNT ABC	NBC AnimalPlanet
2052	FXX Discovery	AMC FOX CBS
60971	Nickelodeon	ABC CBS
18989	FOX NBC ABC	CBS A&E AMC
28365	ABC NBC AMC	FXX FX CBS visit
12066	TBS CBS	AMC ABC MTV
66067	AMC	CBS
72393	FOX Bravo	CW MTV
1292	visit	visit
82849	CartoonNetwork	Freeform
40138	FOX	FOX
14354	FOX CBS	NBC ABC
60097	visit	visit
51167	NBC	ABC
56736	FOX NBC	ABC E!
42790	visit	visit
39936	CBS	TLC CW
7906	VH1 AMC FOX FXX	ESPN ComedyCentral truTV CW CBS
52454	NBC	CBS Bravo
42004	FoxDeportes	ESPNDeportes visit
14650	SpikeTV	SpikeTV
55532	CBS	NBC visit
3730	visit	visit
57890	CBS web	NBC ESPN ABC
32406	visit	visit
10357	TNT	MTV NBC
64739	FOX	FOX
57184	TNT ABC	A&E AnimalPlanet SpikeTV
8206	web	web
10444	ABC CartoonNetwork FOX truTV	ComedyCentral A&E NBC AnimalPlanet BET
67274	CartoonNetwork Nickelodeon	MTV2 SpikeTV Discovery
13142	ABC	TNT NBC
18077	Discovery NBC	SpikeTV FOX visit
63410	AnimalPlanet History A&E	Discovery SpikeTV MTV CMT
67611	NBC AMC	Discovery ABC
81029	visit	visit
45233	AMC NationalGeographic	Discovery ESPN USANetwork
80399	ComedyCentral	NationalGeographic
67906	Bravo Discovery NBC	A&E truTV TLC
60176	NBC	CBS
69016	ComedyCentral CartoonNetwork	web NationalGeographic
